                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    164,                0.61899,                0.49228,                 1.0644,                0.93226,                0.86995,                0.92457,                0.75143,                0.79191,                0.55982,                 1.1902,               0.004621,               0.004621,               0.004621
                    165,                0.61328,                0.49271,                 1.0616,                0.92969,                0.87042,                0.92517,                0.75222,                0.79029,                0.56064,                 1.1898,               0.004588,               0.004588,               0.004588
                    166,                0.60833,                0.48335,                 1.0587,                0.91607,                0.88221,                0.92403,                0.75247,                0.78869,                0.56237,                 1.1881,               0.004555,               0.004555,               0.004555
                    167,                0.61199,                0.49383,                 1.0643,                0.90983,                0.88977,                0.92463,                 0.7541,                0.79055,                0.56279,                   1.19,               0.004522,               0.004522,               0.004522
                    168,                0.61969,                0.49662,                 1.0606,                0.91493,                0.88786,                0.92483,                0.75529,                0.79085,                0.56352,                 1.1899,               0.004489,               0.004489,               0.004489
                    169,                0.61078,                 0.4917,                 1.0597,                0.91278,                  0.888,                0.92528,                0.75737,                0.79337,                0.56784,                 1.1923,               0.004456,               0.004456,               0.004456
                    170,                0.61727,                0.49955,                 1.0586,                0.90984,                0.89577,                0.92542,                  0.757,                0.79311,                0.57054,                 1.1924,               0.004423,               0.004423,               0.004423
                    171,                0.60695,                0.48139,                  1.058,                0.89818,                0.90099,                0.92506,                0.75623,                0.79266,                0.57211,                 1.1922,                0.00439,                0.00439,                0.00439
                    172,                0.61351,                0.49062,                 1.0562,                0.89623,                0.90072,                0.92527,                0.75623,                0.79331,                0.56973,                 1.1932,               0.004357,               0.004357,               0.004357
                    173,                 0.6079,                0.48785,                 1.0589,                0.89807,                 0.8992,                0.92492,                0.75643,                0.79577,                0.56887,                 1.1962,               0.004324,               0.004324,               0.004324
                    174,                0.60605,                0.48462,                 1.0642,                0.90064,                0.90159,                0.92521,                0.75749,                0.79558,                0.57139,                 1.1957,               0.004291,               0.004291,               0.004291
                    175,                0.59313,                0.47409,                 1.0517,                0.90008,                0.90126,                0.92479,                0.75719,                  0.795,                0.57371,                 1.1955,               0.004258,               0.004258,               0.004258
                    176,                0.59858,                0.47856,                 1.0522,                0.90161,                0.90298,                 0.9252,                0.75715,                0.79593,                0.57372,                 1.1968,               0.004225,               0.004225,               0.004225
                    177,                0.60328,                0.47931,                 1.0514,                0.90274,                0.90243,                0.92521,                 0.7549,                0.79692,                0.57154,                 1.1978,               0.004192,               0.004192,               0.004192
                    178,                0.60787,                0.48299,                 1.0525,                0.90215,                0.90346,                0.92571,                0.75426,                0.79736,                0.56852,                 1.1984,               0.004159,               0.004159,               0.004159
                    179,                0.59856,                0.47595,                 1.0538,                 0.9015,                0.90372,                0.92499,                0.75342,                0.79693,                 0.5689,                 1.1974,               0.004126,               0.004126,               0.004126
                    180,                0.59999,                0.48384,                 1.0536,                0.90089,                0.89964,                0.92355,                0.75428,                0.79513,                0.57055,                 1.1949,               0.004093,               0.004093,               0.004093
                    181,                0.59992,                0.48142,                 1.0524,                 0.8985,                0.89776,                0.92324,                0.75405,                0.79335,                0.56892,                 1.1935,                0.00406,                0.00406,                0.00406
                    182,                0.59815,                0.47425,                 1.0517,                 0.9178,                0.88052,                0.92318,                0.75314,                0.79155,                0.56883,                 1.1916,               0.004027,               0.004027,               0.004027
                    183,                0.60705,                0.47375,                 1.0534,                0.91532,                0.87965,                 0.9231,                0.75215,                0.79024,                0.56833,                 1.1908,               0.003994,               0.003994,               0.003994
                    184,                0.59394,                0.47156,                   1.05,                0.91721,                 0.8792,                0.92292,                0.75196,                0.78911,                 0.5687,                 1.1906,               0.003961,               0.003961,               0.003961
                    185,                 0.5996,                0.47474,                 1.0528,                0.91853,                0.87841,                0.92325,                 0.7523,                0.78854,                0.56748,                 1.1906,               0.003928,               0.003928,               0.003928
                    186,                0.59207,                0.46921,                 1.0481,                0.91431,                0.88046,                0.92362,                 0.7525,                0.78831,                0.56737,                 1.1901,               0.003895,               0.003895,               0.003895
                    187,                0.58446,                 0.4648,                 1.0517,                0.91859,                0.88364,                0.92375,                0.75279,                0.78692,                0.56863,                 1.1884,               0.003862,               0.003862,               0.003862
                    188,                0.58283,                0.45864,                  1.042,                0.91489,                0.88577,                0.92362,                0.75302,                0.78681,                0.56784,                 1.1884,               0.003829,               0.003829,               0.003829
                    189,                 0.5837,                0.45979,                 1.0472,                0.91685,                0.88584,                 0.9233,                0.75165,                0.78604,                0.56852,                  1.188,               0.003796,               0.003796,               0.003796
                    190,                0.59474,                0.47258,                 1.0459,                0.91609,                0.88173,                0.92347,                0.75208,                0.78613,                0.56865,                 1.1882,               0.003763,               0.003763,               0.003763
                    191,                0.58404,                0.46646,                 1.0493,                0.91582,                 0.8821,                0.92347,                0.75341,                0.78567,                 0.5676,                 1.1877,                0.00373,                0.00373,                0.00373
                    192,                0.59051,                0.46505,                  1.047,                0.91873,                0.88445,                0.92357,                0.75322,                0.78571,                 0.5672,                 1.1879,               0.003697,               0.003697,               0.003697
                    193,                0.58437,                0.46434,                 1.0454,                0.92692,                 0.8803,                0.92394,                0.75463,                0.78494,                0.56734,                 1.1857,               0.003664,               0.003664,               0.003664
                    194,                  0.582,                0.46771,                 1.0395,                0.92709,                0.88112,                0.92428,                0.75375,                0.78707,                0.56667,                 1.1884,               0.003631,               0.003631,               0.003631
                    195,                0.57761,                0.46198,                 1.0433,                0.93074,                0.87831,                0.92446,                0.75358,                0.78581,                0.56745,                 1.1856,               0.003598,               0.003598,               0.003598
                    196,                0.58254,                 0.4655,                 1.0434,                 0.9312,                0.87687,                0.92445,                0.75276,                0.78563,                0.56716,                 1.1859,               0.003565,               0.003565,               0.003565
                    197,                0.58168,                0.46323,                 1.0405,                0.92322,                0.88308,                0.92467,                0.75186,                0.78455,                0.56708,                 1.1845,               0.003532,               0.003532,               0.003532
                    198,                0.59077,                0.46385,                 1.0457,                0.92132,                0.88515,                0.92454,                0.75075,                0.78348,                0.56674,                 1.1841,               0.003499,               0.003499,               0.003499
                    199,                0.58959,                0.46032,                 1.0438,                 0.9157,                0.88722,                0.92455,                0.75117,                0.78284,                0.56736,                 1.1839,               0.003466,               0.003466,               0.003466
